IdTransacaoProduto;IdTransacao;IdProduto;QtdeProduto;VlProduto;OP
074fe1cc-3469-4384-847b-543e02365c34;855d12cc-402c-4ef0-9ef0-34bca26e44a9;5.0;1;1;I
0a839926-dd7f-4bbf-a504-745976c41e1e;6939e974-5a1e-4066-9c04-1060c33a5884;11.0;1;50;I
105f1f6b-fb09-45c3-af9d-9bc03d051917;25e643a8-9d64-40ac-8aa1-46f42fd3f2b9;5.0;1;1;I
114b2765-d8fd-4a4c-a40e-32cd2a9d6d50;f92e7ed0-d6b0-477f-b4dd-b428ecadc139;5.0;1;1;I
1218d46d-6b47-48fd-b231-78ef04242862;a8119258-77e4-4123-8e3f-42476feb8fb3;11.0;1;50;I
16a337b8-7fa3-4eea-b682-802532fe2675;4156c2e4-415c-4bb5-b093-d750b61e28f9;5.0;1;1;I
183d0939-d62a-49e8-af66-7cd47b6ffbe1;998b5f67-daef-458d-9ea1-25ecf7657b70;5.0;1;1;I
22cc452b-f730-4a46-ae20-ccccde1cba9a;edaec1fa-ab4e-4a18-8ba7-71cb12a5720e;5.0;1;1;I
283364a4-e30a-4232-aff4-87de2c2a921f;0a58f9ee-adfc-4aa6-bd25-2d9e348a42a9;5.0;1;1;I
283b20b7-9cc8-4146-a9ea-769228c8f967;c0f615ca-cbd6-4d6f-bc1e-fa1bc41368f0;5.0;1;1;I
31eed12b-dd44-4c40-b57e-7ed71c3133fc;5c37eb73-e9f9-4c2e-b07d-ee7aa1268026;5.0;1;1;I
34e96468-8532-4811-af92-06ebae224158;3584ac02-0a90-4ab2-9c79-4ef3249bfd36;11.0;1;50;I
390f80f1-bf74-4759-857c-e3378184ba88;4efc0966-0380-4c77-b501-e942996670fe;5.0;1;1;I
3c16cf65-dcc9-4193-b8e8-fe6b9f0775c3;749bc6ca-d757-42c9-80ec-7a3650b465d5;;0;0;I
414b237c-b4c1-49fb-9b46-e6b0b32e1367;741d3302-184b-45e3-ae05-2a679a2de059;5.0;1;1;I
44fe9a46-737a-4180-9d36-4fcdf1a9f450;172f8322-bcd1-4229-95e2-df99d62fe240;5.0;1;1;I
45d9baf5-28c2-4f47-b511-fe22c4803066;544bc18a-621b-4b54-8dde-23fafbb8c221;5.0;1;1;I
4bb16f0b-c8d9-4060-ab2e-d42b8cc29ab9;f8ed6c7e-a6cd-4216-a2aa-ac95fd02a501;11.0;1;50;I
4ed8aa9b-f2a4-4bc0-8bcb-0761b4e99cd6;46ac85e7-737e-4fb1-b982-9a5a22e0132e;5.0;1;1;I
506b014d-61b5-4c58-ab9b-47bd33127201;f6ef7581-b68a-441e-9d5a-7738711b4431;5.0;1;1;I
53c59e49-5adc-470b-b14f-94fd0c5e9b32;acc17f1a-8db7-4ad9-972d-f54ddf1e6e45;11.0;1;50;I
5db0f253-ccc9-4c68-ac58-d74765b27420;9fc395e7-f817-4600-b8a8-a09a02be4ecc;5.0;1;1;I
633c8e77-3306-458b-bb33-975970cdf107;f0b2a04e-4863-46f2-84b9-de571b43a06c;5.0;1;1;I
6b0038e7-0434-489c-a61a-c9830acdba9b;add8fb4a-2fe9-4d21-8800-0e29558c8577;5.0;1;1;I
6b2bcd4f-b105-4721-a49f-9f6bfb0957f0;6f2b2a89-fda2-4454-98ac-2d70b0fb9e69;12.0;1;100;I
6c4e8fbd-024f-4795-a175-f6a48cf4e6c8;3a22de70-7765-4eb3-88fa-02a280bd2983;11.0;1;50;I
730a3612-ef55-4580-87eb-beb014f92d73;a92c2a11-8352-4e9b-888e-e6dfef102678;5.0;1;1;I
7a070304-5051-4def-961e-4e31cdac8998;9400818f-5155-4d4f-b60e-5f73e6e36006;11.0;1;50;I
8b7bb96d-ed88-411b-bad7-1c146f144f9f;b988ce88-b226-4269-980f-a4d2d8317c06;11.0;1;50;I
8ceaff43-945d-4dc2-a47a-5b6e648adbd5;0421ca7f-f7ae-40e4-8a7d-8030bd19e58b;5.0;1;1;I
8e79c7c9-0836-4f9c-960c-6e7094d29c0a;fbedb678-4e3e-43e2-97a2-37a31167281d;5.0;1;1;I
8f8235d4-1326-45c3-bca7-04d50000cff4;c90f83bb-4bbe-4499-9570-894a923efe36;5.0;1;1;I
9028f18f-1562-442c-9fca-4a9f33c71182;8c6ca146-94fc-4528-8b8f-526d14f28138;5.0;1;1;I
92008141-e6a7-497a-8365-beefe2a05cb5;f2b76daf-9cfe-4cb6-a2be-1572b7d0ea5c;5.0;1;1;I
96709a4d-cd63-4675-a3eb-2543fcce1a0c;5e61daa7-936c-4ebf-a7f1-b7e93c258941;5.0;1;1;I
996707de-2be2-4bc0-aaf2-fb2d18bcdc3b;9a69e45b-6a53-4694-bd8b-061013ad57d3;11.0;1;50;I
9beec8ff-8c41-4db4-a462-d84856de342b;9705961d-41f6-4e7f-a0cf-12bdd1a0d4ba;5.0;1;1;I
9f17722c-6d5b-4834-9a35-5b5a5aaac9fb;2270814a-d423-4f4d-875c-934710a48e5c;5.0;1;1;I
a2575329-6945-4cc5-bb8a-e035d3620011;13d7cc7a-3055-4bb0-9033-ccdbbbb7b968;5.0;1;1;I
a6a01558-575e-47e7-b84d-708d02c8484c;76df1d54-fb92-4219-8d9a-3b8780b71c99;5.0;1;1;I
aa016347-4fae-46f0-91dc-5db6c8312850;d61fc2d1-b718-4083-abc3-d80e512ddf62;5.0;1;1;I
af59ba3e-9772-491a-8a7d-52a9095caedf;824f71f6-0765-414f-af68-51fb9e5ae782;5.0;1;1;I
afb0496c-6ccc-4829-8d0d-d0c886edf799;d3972065-3d8e-4bcd-a31d-860c0ca15a75;5.0;1;1;I
b64b39c3-efe4-4d4b-bd95-6ade110385fb;8092ebba-bb83-4d09-af94-5bdbd2c52205;5.0;1;1;I
bdfe87ad-aea6-490a-9a0c-a582926a1d7b;c859955c-6ad6-4c5e-8a52-f2c1195d34d2;5.0;1;1;I
beb6d0d3-57ec-4d2f-977b-ea1e138b42f6;9e4af620-3033-43df-97f9-8fbefaa2d8b3;5.0;1;1;I
bf0159bb-8c22-43f9-96b6-742815f36a2a;ef37c1e1-6779-4d18-9278-5f6cbd4d5496;11.0;1;50;I
cae913e1-1cd0-4449-a975-4e2ade834b02;c8706bcc-edd6-40ba-a502-b97ad1e28bae;11.0;1;50;I
cf732bea-63b5-4085-a9fd-af8934b7623f;836a7e56-2373-4904-b361-a9eb1ef0709c;5.0;1;1;I
