IdCliente;FlEmail;FlTwitch;FlYouTube;FlBlueSky;FlInstagram;QtdePontos;DtCriacao;DtAtualizacao;OP
02bfd4d9-4dd6-44e5-88b8-2cc08caf3267;0;1;0;0;0;5351;2025-03-07 11:34:53.988 +0000 UTC;2025-07-11 13:33:14.052 +0000 UTC;U
03f9edbb-7420-4f36-9a24-894de6aa5678;0;1;0;0;0;2681;2024-11-26 12:19:06.2 +0000 UTC;2025-07-11 14:07:03.739 +0000 UTC;U
05107866-f587-487b-9f12-8235c9b5945e;0;1;0;0;0;100;2025-06-04 13:07:57.925 +0000 UTC;2025-07-11 14:19:12.211 +0000 UTC;U
0df8bc26-9343-428a-a8ae-2b70779c49a2;0;1;0;0;0;2892;2025-04-10 12:38:51.146 +0000 UTC;2025-07-11 13:47:21.46 +0000 UTC;U
0fc3524f-c21c-494d-bced-66766a2f239a;0;1;0;0;0;620;2025-01-17 13:06:29.439 +0000 UTC;2025-07-11 14:23:51.416 +0000 UTC;U
11f0bbec-a571-4d1a-8db2-9a7dfbc9155c;0;1;0;0;0;109;2025-07-08 13:43:12.385 +0000 UTC;2025-07-11 13:56:19.829 +0000 UTC;U
163022e8-12b8-486f-8604-57d8fa0ed7e1;0;1;0;0;0;4360;2025-02-19 13:11:26.517 +0000 UTC;2025-07-11 14:39:03.483 +0000 UTC;U
1a0b214b-942f-4f83-b7a6-ecc4bbddf9a5;0;1;0;0;0;155;2024-02-01 00:00:00 +0000 UTC;2025-07-11 14:32:40.357 +0000 UTC;U
218b2766-fad6-487e-b880-b07989f1a1b4;0;1;0;0;0;660;2025-04-11 11:45:39.351 +0000 UTC;2025-07-11 14:26:23.633 +0000 UTC;U
4310f782-396f-46cd-9825-1a754789d56e;0;1;0;0;0;1455;2025-04-23 12:38:22.916 +0000 UTC;2025-07-11 13:33:20.514 +0000 UTC;U
44a6eef6-d77b-40ec-8ec5-6918a54efdb8;0;1;0;0;0;3526;2025-03-07 12:43:27.7 +0000 UTC;2025-07-11 14:25:50.986 +0000 UTC;U
4fade907-6e0f-4581-a674-aad6622b1b10;0;1;0;0;0;36967;2025-03-07 12:59:27.541 +0000 UTC;2025-07-11 13:32:54.29 +0000 UTC;U
5576a1f5-74b1-4025-b840-008480d1012f;0;1;0;0;0;2169;2025-04-23 13:06:38.755 +0000 UTC;2025-07-11 14:38:58.546 +0000 UTC;U
6313ceac-7806-4d34-aedd-476eed7c853a;0;1;0;0;0;12138;2025-03-07 12:41:02.305 +0000 UTC;2025-07-11 14:25:22.687 +0000 UTC;U
7d9f9a78-f2ee-490a-9f36-dde47f131fa9;0;1;0;0;0;649;2024-10-30 12:57:27.289 +0000 UTC;2025-07-11 14:20:51.616 +0000 UTC;U
890762ae-991c-40df-ab45-76486b14289d;0;1;0;0;0;3561;2025-01-16 12:21:35.143 +0000 UTC;2025-07-11 14:39:18.62 +0000 UTC;U
961622c3-3c29-4fa1-88d2-4f408d6d6ebb;0;1;0;0;0;4271;2025-03-07 13:13:26.026 +0000 UTC;2025-07-11 14:40:58.492 +0000 UTC;U
98953b1a-ae7e-4e50-b264-bdda6c3a4a6d;0;1;0;0;0;7463;2024-02-01 00:00:00 +0000 UTC;2025-07-11 14:10:08.157 +0000 UTC;U
9d5da52f-c36d-47bd-8846-3ac25ae1399f;0;1;0;0;0;202;2025-07-04 12:48:46.991 +0000 UTC;2025-07-11 13:51:49.83 +0000 UTC;U
e8399923-6f47-486c-aa2b-fe8370381b80;0;1;0;0;0;1000;2025-07-08 13:23:24.27 +0000 UTC;2025-07-11 19:26:47.302 +0000 UTC;U
1e32deee-5acd-42db-8a20-476243a89cb4;0;1;0;0;0;0;2025-07-11 16:30:00.27 +0000 UTC;2025-07-11 16:30:00.27 +0000 UTC;I
23b41212-5a2b-4212-aafd-eba641cf6f67;0;1;0;0;0;0;2025-07-11 15:41:31.057 +0000 UTC;2025-07-11 15:41:31.057 +0000 UTC;I
d4e7dca3-1a43-46d8-adf5-f55d372d90f4;0;1;0;0;0;0;2025-07-11 16:50:47.417 +0000 UTC;2025-07-11 16:50:47.417 +0000 UTC;I
