IdTransacao;IdCliente;DtCriacao;QtdePontos;DescSistemaOrigem;OP
0421ca7f-f7ae-40e4-8a7d-8030bd19e58b;961622c3-3c29-4fa1-88d2-4f408d6d6ebb;2025-07-11 14:02:02.719 +0000 UTC;1;twitch;I
0a58f9ee-adfc-4aa6-bd25-2d9e348a42a9;7d9f9a78-f2ee-490a-9f36-dde47f131fa9;2025-07-11 13:32:23.218 +0000 UTC;1;twitch;I
13d7cc7a-3055-4bb0-9033-ccdbbbb7b968;961622c3-3c29-4fa1-88d2-4f408d6d6ebb;2025-07-11 14:10:17.803 +0000 UTC;1;twitch;I
172f8322-bcd1-4229-95e2-df99d62fe240;7d9f9a78-f2ee-490a-9f36-dde47f131fa9;2025-07-11 13:57:36.223 +0000 UTC;1;twitch;I
1d9ba0e2-876a-4d5b-9bae-ae5b754d086d;4fade907-6e0f-4581-a674-aad6622b1b10;2025-07-11 13:32:50.625 +0000 UTC;1;twitch;I
2270814a-d423-4f4d-875c-934710a48e5c;0fc3524f-c21c-494d-bced-66766a2f239a;2025-07-11 14:23:36.212 +0000 UTC;1;twitch;I
25e643a8-9d64-40ac-8aa1-46f42fd3f2b9;7d9f9a78-f2ee-490a-9f36-dde47f131fa9;2025-07-11 14:08:39.896 +0000 UTC;1;twitch;I
3584ac02-0a90-4ab2-9c79-4ef3249bfd36;98953b1a-ae7e-4e50-b264-bdda6c3a4a6d;2025-07-11 14:10:08.156 +0000 UTC;50;twitch;I
3a22de70-7765-4eb3-88fa-02a280bd2983;890762ae-991c-40df-ab45-76486b14289d;2025-07-11 14:39:18.618 +0000 UTC;50;twitch;I
413a0e95-d865-4d12-8148-078c51f4c02a;961622c3-3c29-4fa1-88d2-4f408d6d6ebb;2025-07-11 14:09:59.031 +0000 UTC;1;twitch;I
4156c2e4-415c-4bb5-b093-d750b61e28f9;961622c3-3c29-4fa1-88d2-4f408d6d6ebb;2025-07-11 13:40:34.223 +0000 UTC;1;twitch;I
46ac85e7-737e-4fb1-b982-9a5a22e0132e;1a0b214b-942f-4f83-b7a6-ecc4bbddf9a5;2025-07-11 14:32:40.355 +0000 UTC;1;twitch;I
4efc0966-0380-4c77-b501-e942996670fe;11f0bbec-a571-4d1a-8db2-9a7dfbc9155c;2025-07-11 13:51:46.59 +0000 UTC;1;twitch;I
544bc18a-621b-4b54-8dde-23fafbb8c221;7d9f9a78-f2ee-490a-9f36-dde47f131fa9;2025-07-11 14:20:51.615 +0000 UTC;1;twitch;I
5c37eb73-e9f9-4c2e-b07d-ee7aa1268026;5576a1f5-74b1-4025-b840-008480d1012f;2025-07-11 13:33:27.401 +0000 UTC;1;twitch;I
5e61daa7-936c-4ebf-a7f1-b7e93c258941;7d9f9a78-f2ee-490a-9f36-dde47f131fa9;2025-07-11 14:08:19.737 +0000 UTC;1;twitch;I
62afe86a-98ee-4097-bba2-bfc4cf0a06b2;961622c3-3c29-4fa1-88d2-4f408d6d6ebb;2025-07-11 14:12:15.754 +0000 UTC;1;twitch;I
6939e974-5a1e-4066-9c04-1060c33a5884;0df8bc26-9343-428a-a8ae-2b70779c49a2;2025-07-11 13:47:21.449 +0000 UTC;50;twitch;I
6f2b2a89-fda2-4454-98ac-2d70b0fb9e69;5576a1f5-74b1-4025-b840-008480d1012f;2025-07-11 13:33:32.906 +0000 UTC;100;twitch;I
741d3302-184b-45e3-ae05-2a679a2de059;5576a1f5-74b1-4025-b840-008480d1012f;2025-07-11 14:38:58.544 +0000 UTC;1;twitch;I
749bc6ca-d757-42c9-80ec-7a3650b465d5;e8399923-6f47-486c-aa2b-fe8370381b80;2025-07-11 19:26:47.291 +0000 UTC;1000;cursos;I
76df1d54-fb92-4219-8d9a-3b8780b71c99;7d9f9a78-f2ee-490a-9f36-dde47f131fa9;2025-07-11 14:05:09.2 +0000 UTC;1;twitch;I
8092ebba-bb83-4d09-af94-5bdbd2c52205;7d9f9a78-f2ee-490a-9f36-dde47f131fa9;2025-07-11 14:14:22.123 +0000 UTC;1;twitch;I
824f71f6-0765-414f-af68-51fb9e5ae782;7d9f9a78-f2ee-490a-9f36-dde47f131fa9;2025-07-11 14:12:33.905 +0000 UTC;1;twitch;I
836a7e56-2373-4904-b361-a9eb1ef0709c;1a0b214b-942f-4f83-b7a6-ecc4bbddf9a5;2025-07-11 14:31:28.342 +0000 UTC;1;twitch;I
855d12cc-402c-4ef0-9ef0-34bca26e44a9;7d9f9a78-f2ee-490a-9f36-dde47f131fa9;2025-07-11 14:13:49.715 +0000 UTC;1;twitch;I
8610ae46-28f5-43c8-83bf-c9587f66563e;9d5da52f-c36d-47bd-8846-3ac25ae1399f;2025-07-11 13:51:49.829 +0000 UTC;50;twitch;I
8c6ca146-94fc-4528-8b8f-526d14f28138;7d9f9a78-f2ee-490a-9f36-dde47f131fa9;2025-07-11 14:05:32.171 +0000 UTC;1;twitch;I
9400818f-5155-4d4f-b60e-5f73e6e36006;5576a1f5-74b1-4025-b840-008480d1012f;2025-07-11 13:33:32.867 +0000 UTC;50;twitch;I
9705961d-41f6-4e7f-a0cf-12bdd1a0d4ba;7d9f9a78-f2ee-490a-9f36-dde47f131fa9;2025-07-11 14:20:40.087 +0000 UTC;1;twitch;I
998b5f67-daef-458d-9ea1-25ecf7657b70;11f0bbec-a571-4d1a-8db2-9a7dfbc9155c;2025-07-11 13:56:19.827 +0000 UTC;1;twitch;I
9a69e45b-6a53-4694-bd8b-061013ad57d3;11f0bbec-a571-4d1a-8db2-9a7dfbc9155c;2025-07-11 13:34:07.001 +0000 UTC;50;twitch;I
9e4af620-3033-43df-97f9-8fbefaa2d8b3;163022e8-12b8-486f-8604-57d8fa0ed7e1;2025-07-11 14:39:03.472 +0000 UTC;1;twitch;I
9fc395e7-f817-4600-b8a8-a09a02be4ecc;7d9f9a78-f2ee-490a-9f36-dde47f131fa9;2025-07-11 14:14:14.36 +0000 UTC;1;twitch;I
a8119258-77e4-4123-8e3f-42476feb8fb3;05107866-f587-487b-9f12-8235c9b5945e;2025-07-11 14:19:12.201 +0000 UTC;50;twitch;I
a92c2a11-8352-4e9b-888e-e6dfef102678;4fade907-6e0f-4581-a674-aad6622b1b10;2025-07-11 13:32:54.288 +0000 UTC;1;twitch;I
acc17f1a-8db7-4ad9-972d-f54ddf1e6e45;0fc3524f-c21c-494d-bced-66766a2f239a;2025-07-11 14:10:59.678 +0000 UTC;50;twitch;I
add8fb4a-2fe9-4d21-8800-0e29558c8577;0fc3524f-c21c-494d-bced-66766a2f239a;2025-07-11 14:12:57.017 +0000 UTC;1;twitch;I
b988ce88-b226-4269-980f-a4d2d8317c06;03f9edbb-7420-4f36-9a24-894de6aa5678;2025-07-11 14:07:03.738 +0000 UTC;50;twitch;I
c0f615ca-cbd6-4d6f-bc1e-fa1bc41368f0;1a0b214b-942f-4f83-b7a6-ecc4bbddf9a5;2025-07-11 13:54:10.988 +0000 UTC;1;twitch;I
c859955c-6ad6-4c5e-8a52-f2c1195d34d2;7d9f9a78-f2ee-490a-9f36-dde47f131fa9;2025-07-11 14:04:52.953 +0000 UTC;1;twitch;I
c8706bcc-edd6-40ba-a502-b97ad1e28bae;218b2766-fad6-487e-b880-b07989f1a1b4;2025-07-11 14:26:23.622 +0000 UTC;50;twitch;I
c90f83bb-4bbe-4499-9570-894a923efe36;02bfd4d9-4dd6-44e5-88b8-2cc08caf3267;2025-07-11 13:33:14.041 +0000 UTC;1;twitch;I
c9759096-2a87-493e-a05e-139a37a67725;961622c3-3c29-4fa1-88d2-4f408d6d6ebb;2025-07-11 13:31:42.549 +0000 UTC;1;twitch;I
